tourist_id,nationality,age,gender,travel_purpose,arrival_date,departure_date,duration_days,season,group_size,travel_with,previous_visits_to_nepal,hotel_id,accommodation_type,accommodation_city,cities_visited,num_attractions_visited,primary_transport,uses_tour_guide,daily_budget_usd,accommodation_cost_npr,food_cost_npr,shopping_cost_npr,activities_cost_npr,transport_cost_npr,guide_cost_npr,total_spent_npr,information_source,main_interest,satisfaction_score,would_recommend
18,Australian,24,Female,Cultural Tourism,2024-12-15 03:50:54.435982,2024-12-24 03:50:54.435982,9,Winter,1,Solo,2,13,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",13,Private Car,True,18,31941,13365,2752,6500,18000,17028,89586,Other,Heritage Sites,7.7,True
19,American,52,Female,Cultural Tourism,2025-04-05 03:50:54.435982,2025-04-18 03:50:54.435982,13,Spring,1,Solo,0,18,Luxury Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",12,Walking,False,33,136409,32240,12857,6000,650,0,188156,Friends/Family,Local Culture,7.0,False
20,Bangladeshi,33,Female,Business,2025-09-27 03:50:54.435982,2025-10-01 03:50:54.435982,4,Autumn,2,Partner/Spouse,0,54,Guesthouse,Bhaktapur,"Kathmandu,Patan",7,Walking,False,13,3584,5084,591,3500,200,0,12959,Travel Agency,Local Culture,7.0,True
21,Chinese,19,Female,Cultural Tourism,2025-03-18 03:50:54.435982,2025-03-27 03:50:54.435982,9,Spring,7,Friends,0,53,Luxury Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",11,Rental Bike,False,24,80226,23517,21,5500,4500,0,113764,Social Media,Architecture,8.1,True
22,French,42,Female,Adventure/Trekking,2025-05-14 03:50:54.435982,2025-05-23 03:50:54.435982,9,Spring,1,Solo,0,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",5,Rental Bike,False,27,35505,14571,9465,2500,4500,0,66541,Guidebooks,Nature,9.9,True
23,Korean,56,Male,Cultural Tourism,2025-04-02 03:50:54.435982,2025-04-08 03:50:54.435982,6,Spring,3,Family,0,24,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Private Car,True,21,24834,7374,269,9000,12000,10884,64361,Friends/Family,Heritage Sites,8.7,True
24,Chinese,37,Male,Cultural Tourism,2025-03-22 03:50:54.435982,2025-03-31 03:50:54.435982,9,Spring,5,Tour Group,1,36,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",13,Public Bus,True,25,25821,14247,5757,6500,900,13436,66661,Social Media,Heritage Sites,7.2,True
25,Indian,25,Male,Cultural Tourism,2025-09-08 03:50:54.435982,2025-09-11 03:50:54.435982,3,Autumn,4,Friends,0,31,Boutique Hotel,Patan,"Kathmandu,Bhaktapur",9,Walking,True,16,21438,2988,1000,4500,150,3388,33464,Social Media,Local Culture,7.5,True
26,American,38,Male,Cultural Tourism,2025-09-09 03:50:54.435982,2025-09-16 03:50:54.435982,7,Autumn,1,Solo,0,50,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",14,Walking,False,34,26096,16380,5243,7000,350,0,55069,Travel Agency,Heritage Sites,7.8,True
27,British,36,Male,Cultural Tourism,2024-12-19 03:50:54.435982,2024-12-29 03:50:54.435982,10,Winter,1,Solo,0,4,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Public Bus,False,27,26360,23410,1300,9000,1000,0,61070,Travel Agency,Heritage Sites,6.5,False
28,Israeli,41,Male,Cultural Tourism,2024-12-11 03:50:54.435982,2024-12-21 03:50:54.435982,10,Winter,2,Partner/Spouse,1,8,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",14,Private Car,True,15,16970,10580,5094,7000,20000,21745,81389,Travel Agency,Architecture,6.5,False
29,Japanese,53,Male,Cultural Tourism,2025-11-10 03:50:54.435982,2025-11-18 03:50:54.435982,8,Autumn,3,Tour Group,2,13,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",16,Private Car,True,21,28392,4888,4752,8000,16000,18248,80280,Travel Agency,Heritage Sites,6.6,False
30,French,37,Female,Backpacking,2024-12-30 03:50:54.435982,2025-01-06 03:50:54.435982,7,Winter,1,Solo,0,21,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",5,Public Bus,True,14,17213,7455,1985,2500,700,14607,44460,Friends/Family,Heritage Sites,6.9,False
31,German,63,Male,Backpacking,2025-04-12 03:50:54.435982,2025-04-22 03:50:54.435982,10,Spring,1,Solo,0,51,Luxury Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",6,Taxi,False,35,87860,15990,6907,3000,8000,0,121757,Travel Blogs,Heritage Sites,6.4,False
32,French,55,Male,Adventure/Trekking,2024-11-29 03:50:54.435982,2024-12-09 03:50:54.435982,10,Autumn,1,Solo,0,56,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",7,Private Car,True,22,31430,13820,7961,3500,20000,12725,89436,Friends/Family,Adventure Sports,8.3,True
33,American,69,Female,Luxury Travel,2025-03-07 03:50:54.435982,2025-03-18 03:50:54.435982,11,Spring,2,Friend,4,36,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",11,Public Bus,False,34,31559,24640,1668,5500,1100,0,64467,Other,Shopping,6.9,False
34,Indian,60,Male,Business,2025-10-08 03:50:54.435982,2025-10-12 03:50:54.435982,4,Autumn,3,Family,0,33,Mid-Range Hotel,Patan,"Kathmandu,Bhaktapur",4,Public Bus,False,11,12380,4052,1748,2000,400,0,20580,Other,Local Culture,5.4,False
35,Korean,56,Female,Adventure/Trekking,2025-04-20 03:50:54.435982,2025-04-27 03:50:54.435982,7,Spring,3,Friends,1,16,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",3,Taxi,False,20,43281,7574,5343,1500,5600,0,63298,Friends/Family,Nature,6.4,False
36,Chinese,30,Female,Cultural Tourism,2025-06-19 03:50:54.435982,2025-06-25 03:50:54.435982,6,Monsoon,3,Friends,0,3,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",11,Rental Bike,True,28,16542,16428,4431,5500,3000,13641,59542,Travel Agency,Local Culture,7.8,True
37,German,36,Male,Business,2025-02-06 03:50:54.435982,2025-02-16 03:50:54.435982,10,Winter,2,Partner/Spouse,0,56,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",6,Public Bus,False,27,31430,14530,2757,3000,1000,0,52717,Guidebooks,Heritage Sites,7.5,True
38,American,37,Female,Cultural Tourism,2025-08-09 03:50:54.435982,2025-08-20 03:50:54.435982,11,Monsoon,2,Partner/Spouse,0,6,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",11,Rental Bike,False,38,35849,30162,14289,5500,5500,0,91300,Guidebooks,Heritage Sites,6.6,False
39,Indian,61,Female,Volunteer Work,2025-02-12 03:50:54.435982,2025-02-15 03:50:54.435982,3,Winter,2,Partner/Spouse,0,34,Budget Hostel,Patan,"Kathmandu,Patan,Bhaktapur",4,Private Car,False,6,1947,1428,528,2000,6000,0,11903,Friends/Family,Heritage Sites,7.8,True
40,French,51,Female,Adventure/Trekking,2025-11-01 03:50:54.435982,2025-11-12 03:50:54.435982,11,Autumn,1,Solo,1,20,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Walking,True,14,22682,12133,3657,3500,550,22775,65297,Travel Agency,Trekking,7.3,True
41,Chinese,26,Male,Adventure/Trekking,2025-08-17 03:50:54.435982,2025-08-23 03:50:54.435982,6,Monsoon,3,Family,0,21,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",6,Walking,False,25,14754,16374,5854,3000,300,0,40282,Friends/Family,Nature,7.1,True
42,Indian,22,Female,Business,2025-04-05 03:50:54.435982,2025-04-08 03:50:54.435982,3,Spring,2,Friend,0,22,Boutique Hotel,Kathmandu,"Kathmandu,Patan",7,Public Bus,True,17,9048,4074,854,3500,300,3602,21378,Social Media,Shopping,6.9,False
43,Indian,63,Female,Business,2025-08-01 03:50:54.435982,2025-08-04 03:50:54.435982,3,Monsoon,4,Friends,0,15,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",6,Walking,True,9,4257,2058,283,3000,150,4810,14558,Travel Blogs,Heritage Sites,7.3,True
44,British,57,Male,Backpacking,2025-09-27 03:50:54.435982,2025-10-04 03:50:54.435982,7,Autumn,1,Solo,2,6,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Walking,False,15,22813,5411,526,3500,350,0,32600,Travel Agency,Food,9.9,True
45,Dutch,55,Female,Adventure/Trekking,2024-12-20 03:50:54.435982,2024-12-31 03:50:54.435982,11,Winter,1,Solo,0,5,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Taxi,True,14,50996,14333,4413,3500,8800,22145,104187,Guidebooks,Trekking,8.0,True
46,Chinese,56,Female,Cultural Tourism,2025-10-21 03:50:54.435982,2025-10-30 03:50:54.435982,9,Autumn,4,Friends,0,38,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",17,Taxi,False,22,17883,11160,5889,8500,7200,0,50632,Travel Agency,Local Culture,7.1,True
47,British,68,Female,Cultural Tourism,2024-11-24 03:50:54.435982,2024-12-03 03:50:54.435982,9,Autumn,2,Partner/Spouse,0,36,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",14,Taxi,False,24,25821,15831,1141,7000,7200,0,56993,Social Media,Heritage Sites,6.7,False
48,Chinese,37,Male,Cultural Tourism,2025-03-28 03:50:54.435982,2025-04-05 03:50:54.435982,8,Spring,4,Friends,0,11,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",18,Walking,True,17,10968,8792,1936,9000,400,13204,44300,Travel Agency,Local Culture,9.2,True
49,Indian,40,Male,Pilgrimage,2025-07-30 03:50:54.435982,2025-08-03 03:50:54.435982,4,Monsoon,5,Tour Group,0,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan",10,Public Bus,False,17,15780,4724,882,5000,400,0,26786,Travel Agency,Spiritual Experience,6.7,False
50,British,41,Male,Cultural Tourism,2025-05-20 03:50:54.435982,2025-05-29 03:50:54.435982,9,Spring,1,Solo,0,50,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",13,Rental Bike,True,27,33552,13671,276,6500,4500,16964,75463,Friends/Family,Local Culture,8.1,True
51,Dutch,64,Female,Cultural Tourism,2024-12-22 03:50:54.435982,2024-12-31 03:50:54.435982,9,Winter,1,Solo,0,30,Luxury Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",10,Private Car,True,30,108018,24759,5185,5000,18000,17688,178650,Social Media,Local Culture,6.7,False
52,American,64,Male,Backpacking,2025-03-22 03:50:54.435982,2025-04-04 03:50:54.435982,13,Spring,1,Solo,0,57,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",5,Public Bus,False,24,86268,20189,7016,2500,1300,0,117273,Social Media,Local Culture,8.3,True
53,Korean,35,Male,Adventure/Trekking,2025-08-13 03:50:54.435982,2025-08-18 03:50:54.435982,5,Monsoon,4,Family,0,44,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",4,Public Bus,False,28,10075,14740,3988,2000,500,0,31303,Other,Trekking,6.1,False
54,Indian,36,Female,Adventure/Trekking,2025-09-22 03:50:54.435982,2025-09-26 03:50:54.435982,4,Autumn,2,Friend,0,28,Boutique Hotel,Kathmandu,"Kathmandu,Bhaktapur",7,Taxi,True,15,23224,3304,1548,3500,3200,4234,39010,Social Media,Nature,6.9,False
55,Indian,54,Female,Cultural Tourism,2025-03-13 03:50:54.435982,2025-03-17 03:50:54.435982,4,Spring,3,Family,0,23,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",10,Public Bus,False,12,4976,3720,775,5000,400,0,14871,Social Media,Heritage Sites,7.5,True
56,Spanish,51,Male,Business,2024-11-26 03:50:54.435982,2024-12-06 03:50:54.435982,10,Autumn,1,Solo,0,2,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",9,Public Bus,False,19,56750,13520,2052,4500,1000,0,77822,Social Media,Heritage Sites,9.2,True
57,Dutch,44,Female,Cultural Tourism,2025-09-12 03:50:54.435982,2025-09-24 03:50:54.435982,12,Autumn,2,Friend,0,59,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",14,Taxi,False,21,27000,9036,9475,7000,9600,0,62111,Other,Local Culture,6.9,False
58,Japanese,30,Female,Cultural Tourism,2024-12-31 03:50:54.435982,2025-01-08 03:50:54.435982,8,Winter,3,Tour Group,3,51,Luxury Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",16,Private Car,True,37,70288,23808,9171,8000,16000,14516,141783,Travel Blogs,Local Culture,8.5,True
59,French,62,Male,Adventure/Trekking,2025-03-16 03:50:54.435982,2025-03-27 03:50:54.435982,11,Spring,1,Solo,0,8,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",4,Private Car,True,25,18667,21483,10867,2000,22000,23000,98017,Friends/Family,Adventure Sports,8.4,True
60,Indian,32,Female,Business,2025-05-30 03:50:54.435982,2025-06-04 03:50:54.435982,5,Spring,5,Family,0,57,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",9,Taxi,False,11,33180,5680,1135,4500,4000,0,48495,Guidebooks,Local Culture,6.1,False
61,American,33,Female,Cultural Tourism,2025-08-21 03:50:54.435982,2025-09-02 03:50:54.435982,12,Monsoon,1,Solo,0,37,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",9,Private Car,True,16,55968,12912,2120,4500,24000,13566,113066,Travel Agency,Architecture,5.8,False
62,American,18,Male,Backpacking,2025-03-30 03:50:54.435982,2025-04-12 03:50:54.435982,13,Spring,2,Partner/Spouse,1,32,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",9,Rental Bike,True,25,61295,26507,10758,4500,6500,14244,123804,Guidebooks,Local Culture,8.2,True
63,Indian,25,Male,Adventure/Trekking,2025-09-01 03:50:54.435982,2025-09-07 03:50:54.435982,6,Autumn,3,Tour Group,0,60,Budget Hostel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",5,Private Car,False,6,2838,4656,759,2500,12000,0,22753,Travel Blogs,Nature,8.1,True
64,Indian,23,Female,Pilgrimage,2025-06-29 03:50:54.435982,2025-07-03 03:50:54.435982,4,Monsoon,2,Friend,0,38,Mid-Range Hotel,Patan,"Kathmandu,Patan",8,Walking,True,16,7948,3012,2008,4000,200,5322,22490,Travel Agency,Spiritual Experience,6.5,False
65,Australian,42,Male,Adventure/Trekking,2025-09-23 03:50:54.435982,2025-10-01 03:50:54.435982,8,Autumn,1,Solo,0,21,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",3,Private Car,True,25,19672,18672,5166,1500,16000,19136,80146,Social Media,Trekking,7.0,True
66,American,50,Female,Cultural Tourism,2025-10-26 03:50:54.435982,2025-11-07 03:50:54.435982,12,Autumn,2,Friend,0,20,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",14,Public Bus,True,17,24744,17052,8003,7000,1200,16932,74931,Travel Agency,Local Culture,6.8,False
67,Indian,65,Male,Pilgrimage,2025-03-11 03:50:54.435982,2025-03-17 03:50:54.435982,6,Spring,2,Friend,0,19,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",11,Private Car,False,11,6834,6420,2461,5500,12000,0,33215,Friends/Family,Religious Sites,6.6,False
68,British,62,Male,Backpacking,2024-12-10 03:50:54.435982,2024-12-18 03:50:54.435982,8,Winter,1,Solo,0,24,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",5,Public Bus,False,17,33112,6704,204,2500,800,0,43320,Other,Shopping,7.6,True
69,Indian,43,Male,Business,2024-11-29 03:50:54.435982,2024-12-02 03:50:54.435982,3,Autumn,3,Family,0,57,Boutique Hotel,Bhaktapur,"Kathmandu,Patan",9,Taxi,False,15,19908,2352,291,4500,2400,0,29451,Other,Food,8.1,True
70,Other,59,Male,Backpacking,2025-01-01 03:50:54.435982,2025-01-08 03:50:54.435982,7,Winter,2,Partner/Spouse,0,42,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",7,Taxi,True,22,22799,18655,2448,3500,5600,8970,61972,Guidebooks,Heritage Sites,7.2,True
71,British,59,Male,Cultural Tourism,2025-07-17 03:50:54.435982,2025-07-29 03:50:54.435982,12,Monsoon,3,Family,0,37,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",14,Walking,False,30,55968,30756,3940,7000,600,0,98264,Travel Agency,Architecture,6.3,False
72,Thai,63,Female,Cultural Tourism,2025-07-12 03:50:54.435982,2025-07-16 03:50:54.435982,4,Monsoon,5,Friends,0,11,Guesthouse,Kathmandu,"Kathmandu,Bhaktapur",12,Rental Bike,False,14,5484,3228,708,6000,2000,0,17420,Other,Architecture,6.2,False
73,Japanese,19,Female,Backpacking,2025-04-10 03:50:54.435982,2025-04-15 03:50:54.435982,5,Spring,3,Family,0,58,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",4,Taxi,False,40,19725,8025,7086,2000,4000,0,40836,Guidebooks,Food,7.5,True
74,British,47,Female,Cultural Tourism,2025-09-10 03:50:54.435982,2025-09-21 03:50:54.435982,11,Autumn,1,Solo,0,7,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",16,Rental Bike,True,27,18722,19866,9076,8000,5500,21615,82779,Travel Agency,Heritage Sites,6.4,False
75,French,59,Female,Cultural Tourism,2025-11-21 03:50:54.435982,2025-11-30 03:50:54.435982,9,Autumn,2,Partner/Spouse,1,27,Mid-Range Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",9,Taxi,True,25,20556,14238,1879,4500,7200,19348,67721,Social Media,Local Culture,5.8,False
76,Korean,63,Male,Business,2025-01-26 03:50:54.435982,2025-02-03 03:50:54.435982,8,Winter,3,Family,1,44,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",10,Public Bus,True,25,16120,9976,7185,5000,800,15320,54401,Social Media,Heritage Sites,7.0,True
77,Bangladeshi,66,Male,Pilgrimage,2025-08-19 03:50:54.435982,2025-08-22 03:50:54.435982,3,Monsoon,2,Partner/Spouse,0,22,Boutique Hotel,Kathmandu,"Kathmandu,Patan",9,Rental Bike,True,12,9048,3675,275,4500,1500,2336,21334,Travel Agency,Spiritual Experience,6.6,False
78,Dutch,40,Male,Backpacking,2025-08-18 03:50:54.435982,2025-08-28 03:50:54.435982,10,Monsoon,2,Friend,0,56,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",5,Taxi,False,26,31430,13390,1504,2500,8000,0,56824,Other,Food,5.5,False
79,American,57,Male,Cultural Tourism,2025-08-22 03:50:54.435982,2025-08-31 03:50:54.435982,9,Monsoon,1,Solo,2,36,Mid-Range Hotel,Patan,"Kathmandu,Patan,Bhaktapur",15,Taxi,True,21,25821,12555,4992,7500,7200,19452,77520,Social Media,Heritage Sites,6.2,False
80,Indian,29,Male,Adventure/Trekking,2025-09-08 03:50:54.435982,2025-09-12 03:50:54.435982,4,Autumn,2,Partner/Spouse,0,54,Guesthouse,Bhaktapur,"Kathmandu,Bhaktapur",6,Taxi,True,16,3584,2968,249,3000,3200,5948,18949,Social Media,Trekking,6.5,False
81,Chinese,60,Male,Backpacking,2025-07-07 03:50:54.435982,2025-07-15 03:50:54.435982,8,Monsoon,4,Family,0,59,Mid-Range Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",4,Rental Bike,False,20,18000,10344,1449,2000,4000,0,35793,Guidebooks,Heritage Sites,6.6,False
82,German,30,Male,Backpacking,2024-12-06 03:50:54.435982,2024-12-19 03:50:54.435982,13,Winter,1,Solo,3,12,Guesthouse,Kathmandu,"Kathmandu,Patan,Bhaktapur",7,Private Car,True,19,14430,11908,6524,3500,26000,26460,88822,Travel Blogs,Food,8.5,True
83,American,31,Male,Cultural Tourism,2025-05-28 03:50:54.435982,2025-06-10 03:50:54.435982,13,Spring,2,Partner/Spouse,0,32,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",14,Private Car,True,18,61295,16029,2541,7000,26000,29796,142661,Social Media,Local Culture,4.9,False
84,German,65,Female,Cultural Tourism,2025-02-26 03:50:54.435982,2025-03-08 03:50:54.435982,10,Winter,2,Partner/Spouse,0,47,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",16,Rental Bike,False,16,73800,12050,4470,8000,5000,0,103320,Travel Blogs,Local Culture,7.2,True
85,Indian,28,Female,Cultural Tourism,2025-01-25 03:50:54.435982,2025-01-28 03:50:54.435982,3,Winter,4,Family,0,3,Mid-Range Hotel,Kathmandu,"Kathmandu,Bhaktapur",9,Public Bus,False,15,8271,2997,1805,4500,300,0,17873,Social Media,Local Culture,7.2,True
86,German,30,Female,Luxury Travel,2025-09-03 03:50:54.435982,2025-09-15 03:50:54.435982,12,Autumn,1,Solo,0,47,Boutique Hotel,Bhaktapur,"Kathmandu,Patan,Bhaktapur",6,Taxi,False,13,88560,17220,3036,3000,9600,0,121416,Travel Blogs,Shopping,7.0,True
87,Other,36,Male,Adventure/Trekking,2025-10-27 03:50:54.435982,2025-11-03 03:50:54.435982,7,Autumn,1,Solo,0,24,Boutique Hotel,Kathmandu,"Kathmandu,Patan,Bhaktapur",4,Rental Bike,True,17,28973,7644,11,2000,3500,14526,56654,Travel Agency,Nature,9.4,True
88,American,45,Female,Luxury Travel,2025-07-05 03:50:54.435982,2025-07-13 03:50:54.435982,8,Monsoon,2,Partner/Spouse,0,31,Boutique Hotel,Patan,"Kathmandu,Patan,Bhaktapur",5,Public Bus,False,40,57168,13784,10852,2500,800,0,85104,Social Media,Local Culture,8.2,True
